learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 7 12987.628027099432 15221.66277113266 20.069912433624268 10259 19 13
1e-06 7 18695.459792437698 15400.260829886627 20.143314838409424 10772 20 9
1e-06 7 11722.474531380702 9353.559431604544 21.68629026412964 8720 16 21
1e-06 8 22615.97381233278 23139.14559078495 20.04650640487671 11798 22 11
1e-06 8 27259.021765872658 21167.33352461983 20.037357568740845 8207 15 11
1e-06 8 22598.577872209367 22818.69998954727 20.598424911499023 8720 16 7
1e-06 8 23493.003717738477 30679.736343795932 20.092670679092407 7694 14 13
1e-06 8 5996.832340327074 5328.305535982373 20.202544450759888 9746 18 5
1e-06 8 26078.80282360218 32302.924018968675 20.606094360351562 7694 14 13
1e-06 8 25439.35516225313 25597.143094469477 21.17280411720276 9746 18 7
1e-06 8 24864.445603228163 27081.323918649705 21.073978424072266 10259 19 9
1e-06 8 22881.915505283338 19045.926190545117 20.62007212638855 9233 17 25
1e-06 8 25543.383909615888 21683.77957435079 20.27858829498291 8720 16 9
1e-06 9 23955.892758294638 24491.28913938342 20.758723735809326 8720 16 13
1e-06 9 26878.717092451116 20832.25938894394 20.662709951400757 7694 14 17
1e-06 9 16621.783510276095 16734.1843786488 22.921756982803345 7694 14 19
1e-06 9 24695.8851956041 32072.654511852554 21.00563097000122 9746 18 7
1e-06 9 24939.291480730124 22520.45955327767 21.51619005203247 8720 16 17
1e-06 9 6080.951484419936 6406.668249555419 20.97261953353882 10259 19 5
1e-06 9 20658.137973067296 20730.997111769233 22.555926084518433 7181 13 13
1e-06 9 22723.570935527234 24943.6135495328 20.82563090324402 7181 13 15
1e-06 9 25929.335770587808 21740.24470913172 21.401201248168945 8720 16 13
1e-06 9 9322.301401959392 7373.1489418572155 21.475842237472534 9233 17 13
1e-06 10 10564.47095427428 10940.77243611292 20.658649682998657 8720 16 9
1e-06 10 23335.657149419938 17679.6153191008 20.303804636001587 8720 16 5
1e-06 10 26267.91091407978 26544.4073664548 20.021294355392456 13337 25 3
