learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 7 5861.793997225959 6064.003670107026 24.854283571243286 6655 12 25
1e-06 7 6007.641747041277 4378.6416766988705 20.314822912216187 5120 9 31
1e-06 7 5895.822921324832 5618.600496316113 21.174347162246704 5632 10 43
1e-06 7 5743.18488430836 7216.016426612449 24.055976629257202 6144 11 37
1e-06 7 5959.485963678101 5279.405690087871 24.859848737716675 5115 9 31
1e-06 7 5907.692235525657 5925.275704031678 24.56025195121765 6138 11 35
1e-06 7 5836.62270315631 5348.211274167122 25.21532917022705 5622 10 47
1e-06 7 5574.986782883362 7734.335300777748 23.17189383506775 5118 9 41
1e-06 7 5677.299187433459 5858.933110700675 25.92903733253479 5628 10 35
1e-06 7 5954.46291511887 5358.928059956019 25.1590576171875 6656 12 35
1e-06 8 5872.912890412583 6079.784447397296 22.536441326141357 5631 10 47
1e-06 8 6037.506640550264 4440.715139442319 21.724162340164185 5632 10 85
1e-06 8 5886.73486990186 5565.983727570608 24.501202821731567 5632 10 83
1e-06 8 5365.225699374466 6740.224924598652 25.532591581344604 5631 10 39
1e-06 8 5955.889035086237 5339.466762644448 23.04704713821411 5632 10 37
1e-06 8 5793.943201245803 5651.435380179122 22.574851751327515 5632 10 47
1e-06 8 5955.907832422283 5460.197565895836 20.13112711906433 5120 9 45
1e-06 8 5529.2162778562415 7611.4657846151 20.764981985092163 5120 9 29
1e-06 8 5791.199710624825 5904.866734298816 22.182596445083618 5119 9 37
1e-06 8 5915.421692789 5265.59818451398 24.332376956939697 5115 9 49
1e-06 9 5598.4201204138535 5831.534332987911 24.771042346954346 5120 9 27
1e-06 9 6011.304724707191 4405.887070542504 25.675193309783936 5632 10 43
1e-06 9 5817.210763532014 5425.933517320166 25.444658756256104 5112 9 59
1e-06 9 5616.323356396672 7055.163911992462 20.077913284301758 5120 9 31
1e-06 9 5960.0064850990275 5299.250518422609 22.90665292739868 5629 10 69
1e-06 9 5932.785644889206 5752.09749150287 23.79389715194702 5120 9 85
1e-06 9 23260.79087340603 23381.20308919772 20.72891402244568 5632 10 37
1e-06 9 5625.296688163674 7871.614423736465 22.258370876312256 5120 9 27
1e-06 9 5649.405627069491 5986.295830333443 21.113910913467407 5632 10 43
1e-06 9 5960.555234220116 5345.94034600997 20.953480005264282 5119 9 35
1e-06 10 5808.3554086999375 6013.159156906106 21.69966721534729 4608 8 41
1e-06 10 6020.438023549853 4362.955494891956 23.31010913848877 5120 9 29
1e-06 10 5883.479327835543 5540.491104816876 24.758410692214966 5120 9 63
1e-06 10 5681.531852980484 7161.391028988126 21.729640245437622 5120 9 23
1e-06 10 5879.82707850543 5309.644328231653 24.997140884399414 5120 9 25
