learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 3 27022.486193566147 27205.312517350856 20.28452706336975 29240 56 3
1e-06 3 25909.371472492327 28125.56408291165 20.29853320121765 27701 53 3
1e-06 3 7448.060065976825 6485.853914157409 22.348408460617065 11798 22 29
1e-06 3 26972.163082162366 22995.174233226397 20.083810091018677 27701 53 3
1e-06 3 23955.039859827637 24490.52710296616 20.086785554885864 12824 24 17
1e-06 3 9644.201931894177 6194.037607967578 20.37333345413208 11798 22 19
1e-06 3 22484.50308619211 22706.850985525638 21.000729084014893 12311 23 13
1e-06 3 24475.81148190115 31816.655171280916 20.38825821876526 9746 18 25
1e-06 3 26280.813320090634 23801.093132080234 21.075823307037354 10772 20 25
1e-06 3 15952.153526633538 20286.35931242735 20.78106141090393 15389 29 9
1e-06 3 24845.078202240245 24991.698116870655 20.84435749053955 11285 21 5
1e-06 3 18142.92904633109 20369.54663822422 21.00764799118042 13850 26 13
1e-06 3 27405.080956569476 23053.441116184866 21.54890465736389 12824 24 17
1e-06 3 21366.940787132327 17874.367270887666 20.590529441833496 14363 27 15
1e-06 3 26347.044680631392 26903.443966382416 20.291327476501465 23084 44 3
1e-06 3 6098.564967267215 4484.042622698331 21.08817172050476 14363 27 13
1e-06 3 26412.284599524566 26690.9029923465 20.395116567611694 27701 53 3
1e-06 3 23710.149787236256 30931.495665747407 21.3804190158844 12824 24 17
1e-06 3 28213.42990655276 25649.812523272736 20.106171131134033 63611 123 1
1e-06 3 25704.979598326885 31870.66500435837 20.343409538269043 27701 53 3
1e-06 3 25803.35438234599 25965.981564392474 20.99164128303528 14876 28 13
1e-06 3 27513.66885607538 29727.94088645454 20.07982611656189 64637 125 1
1e-06 3 26657.599730545393 22388.19220803385 20.10892367362976 26162 50 3
1e-06 3 5979.417032200828 5362.09397120267 21.315860986709595 8207 15 21
1e-06 3 25259.001555928495 25808.5243710819 21.45445203781128 11798 22 15
1e-06 3 27576.794325361407 21450.33964048252 20.214120626449585 24623 47 3
1e-06 3 25864.787938972815 26134.48059246066 28.856714010238647 12824 24 11
1e-06 3 21989.652999812814 28925.283482762632 22.387562036514282 6668 12 13
1e-06 3 27305.40830351364 24780.923025437343 20.36721158027649 13850 26 3
1e-06 3 20908.91096600519 26249.1878729201 22.851032257080078 7181 13 19
1e-06 3 24573.456040439785 24717.121752736348 21.35716152191162 9233 17 9
1e-06 3 26096.318885180124 28312.283859671614 20.34776282310486 18980 36 3
1e-06 3 27327.779694809622 22985.69782987539 20.264183044433594 27188 52 3
